institution,recruitment_year,notice_title,employment_track,job_category,qualification_type,certificate_name,certificate_level,bonus_stage,bonus_score,max_bonus,conditions,source_url,source_type,source_quote,page_or_section,posted_date,application_period,verified_date,status,notes
한국에너지공단,2024,"한국에너지공단 신입직원(일반, 고졸) 채용 공고",고졸,사무·기술 공통,가산점,한국사능력검정시험,"1급, 2급, 3급",서류,"1급 5점, 2급 3점, 3급 1점",5점,고졸 서류전형 한국사능력 가점.,https://www.alio.go.kr/download/download.json?fileNo=2896019,공식PDF,한국사능력검정시험 1급(5점),"p.7, 신입직원(고졸) 서류전형",2024.09.10,2024.09.10 ~ 2024.09.25,2026-05-04,만료/과거공고,과거 기준. 한국사는 직무기술 점수와 별도 가점.
한국수자원공사,2025,2025년 하반기 사무운영직 고졸 신입사원 장애인 공채,고졸,사무운영직,가산점,"전산세무1급, 세무회계1급, 전산회계운용사1급, 회계관리1급",1급,면접,1차 전형 만점의 2%,5%,전문 자격증 소지자 세부범위.,https://www.alio.go.kr/download/download.json?fileNo=2984089,공식PDF,1차 전형(면접) 만점의 2%,"p.16, 우대사항 세부범위",2025.08.22,2025.08.29 ~ 2025.09.05,2026-05-04,검증됨,장애인 제한 공채. 일반 고졸 추천에는 별도 표시 필요.
한국수자원공사,2025,2025년 하반기 사무운영직 고졸 신입사원 장애인 공채,고졸,사무운영직,가산점,"재경관리사, 세무사, 공인회계사",전문 자격,면접,1차 전형 만점의 5%,5%,전문 자격증 소지자 세부범위.,https://www.alio.go.kr/download/download.json?fileNo=2984089,공식PDF,1차 전형(면접) 만점의 5%,"p.16, 우대사항 세부범위",2025.08.22,2025.08.29 ~ 2025.09.05,2026-05-04,검증됨,장애인 제한 공채. 일반 고졸 추천에는 별도 표시 필요.
한국수자원공사,2025,2025년 하반기 시설운영직 고졸 신입사원 보훈 공채,고졸,시설운영직,가산점,직무 관련 분야 산업기사,산업기사,면접,1차 전형 만점의 2%,5%,직무 관련 분야 자격증 소지자.,https://www.alio.go.kr/download/download.json?fileNo=2984081,공식PDF,산업기사 1차 전형 만점의 2%,"p.17, 우대사항",2025.08.22,2025.08.29 ~ 2025.09.05,2026-05-04,부분확인,보훈 제한 여부와 직무 관련 분야 자격증 세부목록 추가 확인 필요.
한국수자원공사,2025,2025년 하반기 시설운영직 고졸 신입사원 보훈 공채,고졸,시설운영직,가산점,직무 관련 분야 기사 이상,기사 이상,면접,1차 전형 만점의 5%,5%,직무 관련 분야 자격증 소지자.,https://www.alio.go.kr/download/download.json?fileNo=2984081,공식PDF,기사 이상 1차 전형 만점의 5%,"p.17, 우대사항",2025.08.22,2025.08.29 ~ 2025.09.05,2026-05-04,부분확인,보훈 제한 여부와 직무 관련 분야 자격증 세부목록 추가 확인 필요.
한국농수산식품유통공사,2025,2025년 신입 및 경력직 채용,고졸,신입 6급 행정,가산점,"한국사능력검정시험, KBS한국어능력, 국어능력인증시험, 한국실용글쓰기",한국사 2급 이상 등,서류,서류전형 5%,확인불가,일반 우대내용. 고졸 행정 6급에도 적용되는지 세부 모집단위 확인 필요.,https://www.alio.go.kr/information/informationRecruitDtl.do?seq=291364,ALIO,한국사능력검정시험(2급이상),ALIO 우대내용 및 응시자격,2025.09.25,2025.09.25 ~ 2025.10.10,2026-05-04,부분확인,공고문 PDF의 모집단위별 적용 여부 추가 확인 필요.
한국농수산식품유통공사,2025,2025년 신입 및 경력직 채용,고졸,신입 6급 행정,가산점,고급자격증,확인불가,서류|필기,서류·필기전형 10%,확인불가,고급자격증 정의는 첨부 공고문 확인 필요.,https://www.alio.go.kr/information/informationRecruitDtl.do?seq=291364,ALIO,고급자격증 보유자,ALIO 우대내용,2025.09.25,2025.09.25 ~ 2025.10.10,2026-05-04,부분확인,자격증명/등급이 ALIO 본문만으로 특정되지 않아 추천 점수 산정에 직접 사용 금지.
한국소비자원,2025,"2025년 신입직원(보훈, 고졸) 및 공무직 채용 공고",고졸,신입직원 고졸,가산점,한국사 자격증,"1급, 2급",서류,확인불가,확인불가,"한국사 자격증 1,2급 소지자는 서류전형 시 가점.",https://www.alio.go.kr/mobile/information/informationRecruitDtl.do?seq=293015,ALIO,"한국사 자격증 1,2급",ALIO 우대내용,2025.11.17,2025.11.17 ~ 2025.12.02,2026-05-04,부분확인,가점 점수와 모집단위별 적용 여부는 첨부 공고문 추가 확인 필요.
한국소비자원,2025,"2025년 신입직원(보훈, 고졸) 및 공무직 채용 공고",고졸,신입직원 고졸 또는 공무직,가산점,산업안전기사,기사,서류,확인불가,확인불가,산업안전기사 자격 소지자는 서류전형 시 가점.,https://www.alio.go.kr/mobile/information/informationRecruitDtl.do?seq=293015,ALIO,산업안전기사 자격 소지자,ALIO 우대내용,2025.11.17,2025.11.17 ~ 2025.12.02,2026-05-04,부분확인,가점 점수와 모집단위별 적용 여부는 첨부 공고문 추가 확인 필요.
한국관광공사,2025,"한국관광공사 2026년 제1차 체험형 청년인턴(일반, 장애인) 및 기간제 근로자 채용 공고",고졸,체험형 청년인턴 일반(고졸인재),응시자격,TOEIC,600점 이상,해당없음,,,영어성적은 자격증 가산점이 아니라 응시자격.,https://www.alio.go.kr/download/download.json?fileNo=3005507,공식PDF,600점 이상의 TOEIC 성적 보유자,"p.3, 지원자격",2025.11.07,2025.11.07 ~ 2025.11.24,2026-05-04,검증됨,공고명은 2026년 제1차이나 접수기간과 게시일이 2025년이므로 화면 연도 탭은 2025학년도 기준으로 분류. 자격증 가산점과 구분. 체험형 인턴.
예금보험공사,2025,2025년도 예금보험공사 신입직원 채용안내,고졸,고졸 일반행정,가산점,"CFA(lv3), 감정평가사, 공인노무사, 공인회계사, 변호사, 보험계리사, 정보관리기술사, 정보통신기술사, 컴퓨터시스템응용기술사",전문 자격,필기,필기전형 만점 기준 5%,복수 우대사항 중 가장 유리한 가점만 반영,우대 자격증은 필기전형에만 5% 가점. 자격증은 CFA(lv3)를 제외하고 국내자격증에 한함.,https://www.alio.go.kr/download/download.json?fileNo=2985473,공식PDF,우대 자격증 - 5%,"p.10, 우대 사항",2025.08.29,2025.08.29 ~ 2025.09.12,2026-05-04,검증됨,고졸 일반행정 선발예정인원 3명. 취업지원대상자 가점은 미적용이나 우대 자격증 가점은 공고 표상 확인됨.
신용보증기금,2025,2025년도 하반기 신용보증기금 신입직원 채용,고졸,"고교 경영금융, 고교 정보통신",가산점,한국사 자격증,확인불가,서류,서류전형 만점 기준 2%,자격증 세부 가점 중 가장 높은 가점 1개,"고교 경영금융, 고교 정보통신 채용단위에 한국사 자격증 가점 적용.",https://www.alio.go.kr/download/download.json?fileNo=2984754,공식PDF,한국사 자격증 2%,"p.16, 자격증 가점항목",2025.09.08,2025.09.08 ~ 2025.09.23,2026-05-04,검증됨,공고상 고교 경영금융/정보통신 채용단위에 적용되는 자격증 가점.
신용보증기금,2025,2025년도 하반기 신용보증기금 신입직원 채용,고졸,고교 정보통신,가산점,"데이터아키텍처전문가(DAP), 데이터분석전문가(ADP), 정보보안기사",전문가 또는 기사,서류,서류전형 만점 기준 5%,자격증 세부 가점 중 가장 높은 가점 1개,ICT 자격증 가점. 고교 정보통신 채용단위에 적용되는지 공고 표상 확인됨.,https://www.alio.go.kr/download/download.json?fileNo=2984754,공식PDF,"ICT 자격증 데이터아키텍처전문가(DAP), 데이터분석전문가(ADP), 정보보안기사 5%","p.16, 자격증 가점항목",2025.09.08,2025.09.08 ~ 2025.09.23,2026-05-04,검증됨,상업고 정보통신 계열 학생에게 참고 가능. 경영금융 채용단위에는 ICT 자격증 적용 여부를 별도 확인해야 함.
신용보증기금,2025,2025년도 하반기 신용보증기금 신입직원 채용,고졸,고교 정보통신,가산점,"정보처리기사, 빅데이터분석기사",기사,서류,서류전형 만점 기준 3%,자격증 세부 가점 중 가장 높은 가점 1개,ICT 자격증 가점.,https://www.alio.go.kr/download/download.json?fileNo=2984754,공식PDF,"정보처리기사, 빅데이터분석기사 3%","p.16, 자격증 가점항목",2025.09.08,2025.09.08 ~ 2025.09.23,2026-05-04,검증됨,상업고 정보통신 계열 학생에게 참고 가능.
한국자산관리공사,2025,2025년도 한국자산관리공사 신입직원 채용공고,고졸,6급 고졸 지역전문 포함,가산점,"우대자격증 소지자(공인회계사, 세무사 외)",전문 자격 등,필기,필기전형 만점 기준 5%,확인불가,ALIO 본문상 우대자격증 소지자 필기전형 5% 가점.,https://www.alio.go.kr/mobile/information/informationRecruitDtl.do?seq=285085,ALIO,"우대자격증 소지자(공인회계사, 세무사 외): 필기전형 만점의 5% 가점","ALIO 우대내용, 가산점 적용대상자 및 가산점 비율표",2025.05.13,2025.05.13 ~ 2025.05.28,2026-05-04,부분확인,고졸 지역전문 분야에 동일 적용되는지 첨부 공고문 확인 필요. 자격증 세부목록은 공고문 원문 추가 확인 전까지 점수화 주의.
한국자산관리공사,2025,2025년도 한국자산관리공사 신입직원 채용공고,고졸,금융일반,우대사항,"공인회계사, 세무사",전문 자격,필기,필기전형 면제,해당없음,"금융일반 분야 공인회계사, 세무사 자격 소지자는 필기전형 면제.",https://www.alio.go.kr/mobile/information/informationRecruitDtl.do?seq=285085,ALIO,"공인회계사, 세무사 자격 소지자(금융일반): 필기전형 면제","ALIO 우대내용, 가산점 적용대상자 및 가산점 비율표",2025.05.13,2025.05.13 ~ 2025.05.28,2026-05-04,부분확인,고졸 지역전문에 직접 적용된다고 단정 금지. 금융일반 분야 기준으로 별도 보관.
한국주택금융공사,2025,2025년도 한국주택금융공사 직무능력 평가기반 신입직원 채용,고졸,고졸부문 행정,가산점,"세무사, 노무사, 정보보안기사",전문 자격 또는 기사,서류|필기,서류전형 및 필기전형 만점 기준 5%,확인불가,전문자격증 소지자 가점. 고졸부문에도 전문자격증 우대가 동일 적용되는지 첨부 공고문 세부 확인 필요.,https://job.alio.go.kr/mobile2021/recruit/recruitView.do?idx=289461,ALIO,"세무사, 노무사, 정보보안기사 : 만점의 5% 가점",ALIO 우대내용,2025.08.12,2025.08.12 ~ 2025.09.01,2026-05-04,부분확인,고졸부문 지원자격은 확인됨. 전문자격증 우대의 고졸부문 적용 여부는 첨부 PDF 세부 확인 필요.
한국주택금융공사,2025,2025년도 한국주택금융공사 직무능력 평가기반 신입직원 채용,고졸,고졸부문 행정,가산점,"AICPA, CFA, FRM(GARP), 산업안전기사, 산업위생관리기사",전문 자격 또는 기사,서류|필기,서류전형 및 필기전형 만점 기준 3%,확인불가,전문자격증 소지자 가점. 고졸부문에도 전문자격증 우대가 동일 적용되는지 첨부 공고문 세부 확인 필요.,https://job.alio.go.kr/mobile2021/recruit/recruitView.do?idx=289461,ALIO,"AICPA, CFA, FRM(GARP), 산업안전기사, 산업위생관리기사 : 만점의 3% 가점",ALIO 우대내용,2025.08.12,2025.08.12 ~ 2025.09.01,2026-05-04,부분확인,고졸부문 지원자격은 확인됨. 전문자격증 우대의 고졸부문 적용 여부는 첨부 PDF 세부 확인 필요.
한국수출입은행,2025,한국수출입은행 2025년도 하반기 사무직원 및 업무직원 채용,고졸,"사무직, 일반업무직",우대사항,한국사능력검정시험,2급 이상,필기,점수 확인불가,확인불가,"사무직, 일반업무직 지원 시 우대. 필기전형에서 우대자격증 등 평가.",https://www.alio.go.kr/information/informationRecruitDtl.do?seq=288827,ALIO,"한국사능력검정시험(국사편찬위원회) 2급 이상(사무직, 일반업무직 지원시)",ALIO 우대내용 및 전형절차/방법,2025.07.25,2025.07.25 ~ 2025.08.11,2026-05-04,부분확인,공고 본문에서 점수/비율은 확인되지 않음. 점수화 금지.
한국수출입은행,2025,한국수출입은행 2025년도 하반기 사무직원 및 업무직원 채용,고졸,"사무직, 일반업무직",우대사항,"기업회계, 전산회계",2급 이상,필기,점수 확인불가,확인불가,"사무직, 일반업무직 지원 시 우대. 필기전형에서 우대자격증 등 평가.",https://www.alio.go.kr/information/informationRecruitDtl.do?seq=288827,ALIO,"기업회계 및 전산회계 자격증(2급 이상)(사무직, 일반업무직 지원시)",ALIO 우대내용 및 전형절차/방법,2025.07.25,2025.07.25 ~ 2025.08.11,2026-05-04,부분확인,상업고 학생에게 직접 관련성이 높으나 공고 본문에서 점수/비율은 확인되지 않음. 점수화 금지.
한국은행,2026,2026년도 한국은행 일반사무직원(C3) 채용 안내,고졸,"특성화고 졸업예정자, 충청권(대전·청주) 포함",확인불가,확인불가,확인불가,확인불가,확인불가,확인불가,2026년도 공고 페이지에서 특성화고 졸업예정자 및 충청권 채용은 확인. 자격증 우대 세부표는 첨부 PDF 추가 확인 필요.,https://www.bok.or.kr/portal/bbs/P0000561/view.do?depth=200037&menuNo=200037&nttId=10097773&programType=newsData&relate=Y,기관공식,"채용부문: 특성화고 졸업예정자, 보훈특별고용, 장애인","한국은행 공지사항, 2026년도 일반사무직원(C3) 채용 안내",2026.04.29,2026.04.29 ~ 2026.05.13,2026-05-04,부분확인,충청권 지역 학생 상담에 표시 가능. 자격증 점수화는 첨부 PDF 확인 전까지 금지.
한국은행,2025,2025년도 한국은행 일반사무직원(C3) 채용 안내,고졸,"특성화고 졸업예정자, 충청권(대전·청주) 포함",우대사항,"ITQ 정보기술자격 A등급, 워드프로세서, 컴퓨터활용능력, 전산회계, 전산회계운용사, ERP 회계정보관리사, FAT","ITQ A등급, 워드프로세서 구 1급, 컴퓨터활용능력 1~2급, 전산회계 1~2급, 전산회계운용사 1~3급, ERP 회계정보관리사 1~2급, FAT 1급",서류,점수 확인불가,확인불가,"서류전형에서 학업성적, 자기소개서, 자격증을 전형기준으로 종합평가. 자격증 소지자 우대.",https://www.bok.or.kr/portal/bbs/P0000561/view.do?menuNo=200037&nttId=10090956,기관공식,"전형기준 - 학업성적, 자기소개서, 자격증","첨부 PDF, 2025년도 한국은행 일반사무직원(C3) 채용(특성화고, 장애인) 안내",2025.04.18,2025.04.18 ~ 2025.04.29,2026-05-04,부분확인,상업고 금융권 상담에 중요. 자격증명은 공식 PDF 검색 결과에서 확인되나 점수/비율은 확인불가이므로 점수화 금지.
한국은행,2025,2025년도 한국은행 일반사무직원(C3) 채용 안내,고졸,특성화고 졸업예정자,응시자격,해당없음,해당없음,해당없음,,,내신 3.0등급 이내는 가산점이 아니라 특성화고 졸업예정자 지원자격.,https://www.bok.or.kr/portal/bbs/P0000561/view.do?menuNo=200037&nttId=10090956,기관공식,전학년 평균 내신등급이 3.0등급 이내인 자,"첨부 PDF, 지원 자격",2025.04.18,2025.04.18 ~ 2025.04.29,2026-05-04,검증됨,가산점과 구분. 지원 가능성 필터로 사용.
새마을금고,2025,2025년 하반기 새마을금고 신입직원 채용공고,학력무관(고졸 지원 가능),"일반직 6급, 대전·세종·충남지역 및 충북지역 포함",확인불가,확인불가,확인불가,확인불가,확인불가,확인불가,"충청권 지역별 채용은 확인되나, 자격증 가산점 또는 우대 점수표는 공식 모집요강 본문에서 확인되지 않음.",https://www.kfcc.co.kr/recruit/gumgo/rec01.do,기관공식,"연령, 성별, 학력 제한 없음","2025년 하반기 새마을금고 신입직원 채용공고, 채용부문/지역별 채용 예정인원/면접응시자 제출서류",2025.08.11,2025.08.11 ~ 2025.08.20,2026-05-04,부분확인,상업고 학생의 충청권 금융기관 지원 후보로 표시 가능. 자격증 가점 점수화는 금지.
신협,2024,2024년 신협 신입직원 채용공고,학력무관(고졸 지원 가능),"일반직, 충북 청주중부신협 포함",우대사항,지역인재,해당없음,확인불가,점수 확인불가,확인불가,모집 신협 소재 지역인재 우대. 자격증 우대가 아니라 지역인재 우대이며 점수/비율은 확인불가.,https://www.cu.co.kr/upload/cu/na/bbs_1070/ntt_110863/img_40d482cc-c4bc-4ff1-a52d-b21746b42cac1727070942776.pdf,기관공식,모집 신협 소재 지역인재 우대,"2024년 신협 신입직원 채용공고, p.1~p.2 모집 신협/지원자격/우대사항",2024.08.29,2024.08.29 ~ 2024.09.13,2026-05-04,부분확인,충북 청주중부신협 채용 확인. 자격증 가산점 데이터가 아니므로 자격증 추천 점수에는 사용하지 말 것.
IBK기업은행,2025,2025년 하반기 IBK기업은행 신입행원 공개채용,고졸,"금융일반, 디지털/IT",가산점,학교장 추천,해당없음,필기,5%,5%,학교장 추천자에 한해 필기전형 5% 가점. 학교별 최대 3명 추천 가능.,,확인불가,"고졸인재 관련 학교장 추천의 경우 필기전형에 학교별 최대 3명, 가점은 5%","2025년 하반기 IBK기업은행 신입행원 공개채용, 우대사항",2025-08-27,2025-08-27 ~ 2025-09-15,2026-05-05,부분확인,"고졸인재 총 15명 모집 (금융일반+디지털/IT). 서류→필기→실기→면접 전형. IBK 일반 홈페이지 URL은 제거했고, 2025 하반기 채용 전용 공식 사이트도 현재 응답 불가하여 공식 출처 버튼에서 제외."
IBK기업은행,2024,2024년 하반기 IBK기업은행 신입행원 공개채용,고졸,"금융일반, 디지털·IT",가산점,학교장 추천,해당없음,필기,5%,5%,학교장 추천자에 한해 필기전형 가점 5%. 다수 우대사항 충족 시 가장 높은 가점 하나만 적용.,,확인불가,"고졸인재 학교장 추천: 필기전형 학교별 최대 3명, 가점 5%",2024년 하반기 채용공고,2024-08-28,2024-08-27 ~ 2024-09-19,2026-05-05,부분확인,"고졸인재(금융일반), 고졸인재(디지털·IT) 두 분야 모집. 기관 공식 2024 공고문 직링크를 아직 확보하지 못해 공식 출처 버튼에서 제외."
KDB산업은행,2025,2025년 한국산업은행 일반직B 신입행원 채용 공고,고졸,"텔러, 외환, 기업외여신, 영업지원, 비서, 업무지원",확인불가,확인불가,확인불가,확인불가,확인불가,확인불가,특성화고 졸업(예정)자 전용. 자격증 가산점 세부사항 공고 원문 확인 필요.,https://www.alio.go.kr/download/download.json?fileNo=2966995,공식PDF,특성화고등학교 졸업(예정)자(2026년 2월 28일 이전 졸업 가능자),"2025년 일반직B 신입행원(특성화고) 채용공고, 지원자격/전형절차",2025-06-04,2025-06-04 ~ 2025-06-18,2026-05-05,부분확인,정규직 채용. 서울 여의도 근무. 채용인원 약 10명 내외. 자격증 가산점 세부 공고문 확인 필요. KDB 메인 URL을 ALIO 첨부 공식 PDF로 교체.
KDB산업은행,2024,2024년 한국산업은행 일반직B 신입행원 채용 공고,고졸,"텔러, 외환, 기업외여신, 영업지원, 비서, 업무지원",확인불가,확인불가,확인불가,확인불가,확인불가,확인불가,특성화고 졸업(예정)자 전용. 채용예정 약 10명.,,확인불가,특성화고등학교 졸업(예정)자(2025년 2월 28일 이전 졸업 가능자),지원자격,2024-06-12,2024-06-12 ~ 2024-06-26,2026-05-05,부분확인,채용예정 약 10명. 자격증 가산점 세부 공고문 확인 필요. 문의: 02-787-6308. 기관 공식 공고문 직링크를 아직 확보하지 못해 공식 출처 버튼에서 제외.
NH농협은행,2024,2024년도 상반기 NH농협은행 6급 신규직원 채용,학력무관,"금융서비스 (금융상담, 자산관리, 개인여신, 기업금융, 외환)",우대사항,정보처리기사 | 빅데이터분석기사 | CFP | CFA | FRM,기사/전문자격,서류,우대,확인불가,"디지털 자격증(정보처리기사, 빅데이터분석기사 등), 금융자격증(CFP, CFA, FRM 등) 소지자 서류전형 우대. 학력무관이므로 고졸 지원 가능.",,확인불가,"연령, 성별, 학력, 전공, 어학 점수에 따른 지원 제한 없음",지원자격,2023-12-18,2023-12-18 ~ 2023-12-26,2026-05-05,부분확인,6급초급_일반 전형은 학력 무관으로 고졸 지원 가능. 별도 고졸 제한경쟁 전형은 미확인. 기관 공식 채용공고 직링크를 아직 확보하지 못해 공식 출처 버튼에서 제외.
Sh수협은행,2025,수협은행 2025년 하반기 신입행원 채용 공고,학력무관,"일반직(3급), IT인재(3급), 지역인재(3급)",우대사항,공인회계사(KICPA) | AICPA | 세무사 | 변호사 | 감정평가사 | 공인노무사 | TOEIC | TOEFL iBT | OPIc,전문자격/공인어학,서류 | 필기,"전문자격증: 필기 면제, 어학/직무자격: 서류 우대",확인불가,전문자격증 소지자 필기전형 면제(인성검사 실시). 어학·직무자격증 서류전형 우대. 별도 고졸 전형 없음.,https://www.suhyup-bank.com/ib20/mnu/PBM01055,기관공식,"학력, 연령, 성별 등에 제한 없으며",지원자격 및 우대사항,2025-10-01,2025-10-01 ~ 2025-10-15,2026-05-05,부분확인,별도 고졸 전형 없음. 학력 무관으로 고졸도 지원 가능. 자격증 가산점보다 우대 방식.
코스콤,2024,2024년 코스콤 신입직원 공개채용,고졸,일반행정/경영지원,우대사항,국내변호사 | 공인회계사(KICPA) | 세무사 | 노무사 | CFA | FRM,전문자격,서류 | 필기,우대,확인불가,"전문자격증 소지자 서류·필기 우대. 고졸 응시자: NCS 직업기초능력평가(의사소통, 수리, 문제해결) + 자본시장·금융 상식 응시. 학교장 추천 필수.",,확인불가,신입직원 ▲IT ▲경영 ▲고졸(일반행정) 등 총 3개 분야에서 모집,공지사항,2024-09-01,2024-09-01 ~ 2024-10-04,2026-05-05,부분확인,2023년부터 고졸(일반행정) 분야 지속 채용. 금융·자본시장 IT 인프라 전문 공공기관. 기관 공식 채용공고 직링크를 아직 확보하지 못해 공식 출처 버튼에서 제외.
서민금융진흥원,2025,2025년 서민금융진흥원 고졸부문 채용,고졸,"상담직 6급, 금융상담",확인불가,확인불가,확인불가,확인불가,확인불가,확인불가,고졸부문 종합직 6급 채용. 자격증 가산점 세부 공고문 확인 필요.,https://job.alio.go.kr/mobile2021/recruit/recruitView.do?idx=287929,ALIO,"고졸부문은 2025년 2월 졸업예정자(특성화고, 마이스터고, 종합고)로서 학교장 추천을 받은 자",채용공고,2025-01-01,확인불가,2026-05-05,부분확인,공식 채용홈페이지: kinfa.scout.co.kr. 2024년에도 상담직 6급_고졸 채용 확인됨. 채용목록 URL을 ALIO 채용 상세 페이지로 교체.
